employee_id,hire_date,exit_date,reason
E001,2022-12-14,2023-10-05,Laid Off
E002,2022-02-09,2023-09-09,New Job
E003,2022-05-26,2023-12-12,Retirement
E004,2022-03-16,2023-06-15,Retirement
E005,2022-05-10,2023-10-19,Other
E006,2022-05-08,2023-01-15,Laid Off
E007,2022-05-27,2023-06-26,Laid Off
E008,2022-08-28,2023-06-04,Other
E009,2022-07-13,2023-03-13,Other
E010,2022-05-01,2023-11-09,Laid Off
E011,2022-10-24,2023-03-27,New Job
E012,2022-08-03,2023-12-29,Retirement
E013,2022-09-18,2023-05-22,Retirement
E014,2022-05-02,2023-08-24,Retirement
E015,2022-09-19,2023-03-13,Retirement
E016,2022-04-24,2023-09-16,Retirement
E017,2022-07-28,2023-03-05,Other
E018,2022-10-10,2023-06-19,Other
E019,2022-05-20,2023-01-19,New Job
E020,2022-04-08,2023-06-08,Retirement
E021,2022-05-10,2023-06-21,New Job
E022,2022-12-02,2023-05-01,New Job
E023,2022-05-23,2023-04-19,Laid Off
E024,2022-03-02,2023-06-03,Retirement
E025,2022-04-27,2023-06-06,Laid Off
E026,2022-06-01,2023-10-22,Laid Off
E027,2022-10-17,2023-07-04,Retirement
E028,2022-10-26,2023-09-08,New Job
E029,2022-06-17,2023-01-04,Other
E030,2022-02-28,2023-01-10,Laid Off
E031,2022-01-30,2023-07-27,New Job
E032,2022-05-24,2023-07-27,Retirement
E033,2022-11-09,2023-02-04,Laid Off
E034,2022-03-05,2023-04-25,New Job
E035,2022-06-24,2023-01-30,Retirement
E036,2022-07-24,2023-10-04,Laid Off
E037,2022-12-13,2023-02-07,Retirement
E038,2022-07-29,2023-05-05,New Job
E039,2022-04-21,2023-09-10,New Job
E040,2022-10-27,2023-08-27,Other
E041,2022-04-27,2023-02-15,Other
E042,2022-09-10,2023-02-05,Other
E043,2022-08-15,2023-09-23,Other
E044,2022-11-10,2023-10-20,Retirement
E045,2022-09-11,2023-06-21,Other
E046,2022-02-09,2023-07-15,Other
E047,2022-08-08,2023-12-21,Laid Off
E048,2022-11-14,2023-05-15,Retirement
E049,2022-07-29,2023-01-11,Laid Off
E050,2022-04-14,2023-04-28,New Job
